first_name,last_name,title,description,release_year
KIRSTEN,AKROYD,"BUCKET BROTHERHOOD","A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory",2006
KIRSTEN,AKROYD,"CASABLANCA SUPER","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station",2006
DEBBIE,AKROYD,"GLORY TRACY","A Amazing Saga of a Woman And a Womanizer who must Discover a Cat in The First Manned Space Station",2006
KIRSTEN,AKROYD,"RAIDERS ANTITRUST","A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station",2006
DEBBIE,AKROYD,"SONG HEDWIG","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention",2006
CHRISTIAN,AKROYD,"SUBMARINE BED","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia",2006
KIM,ALLEN,"CLASH FREDDY","A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia",2006
MERYL,ALLEN,"JET NEIGHBORS","A Amazing Display of a Lumberjack And a Teacher who must Outrace a Woman in A U-Boat",2006
KIM,ALLEN,"NOTORIOUS REUNION","A Amazing Epistle of a Woman And a Squirrel who must Fight a Hunter in A Baloon",2006
MERYL,ALLEN,"RECORDS ZORRO","A Amazing Drama of a Mad Scientist And a Composer who must Build a Husband in The Outback",2006
ANGELINA,ASTAIRE,"CARRIE BUNCH","A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies",2006
ANGELINA,ASTAIRE,"ORDER BETRAYED","A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert",2006
HARRISON,BALE,"GREEDY ROOTS","A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies",2006
RENEE,BALL,"GREEDY ROOTS","A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies",2006
JULIA,BARRYMORE,"GASLIGHT CRUSADE","A Amazing Epistle of a Boy And a Astronaut who must Redeem a Man in The Gulf of Mexico",2006
VIVIEN,BASINGER,"JERICHO MULAN","A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat",2006
SCARLETT,BENING,"BULWORTH COMMANDMENTS","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006
SCARLETT,BENING,"SUBMARINE BED","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia",2006
VIVIEN,BERGEN,"CLASH FREDDY","A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia",2006
VIVIEN,BERGEN,"VOICE PEACH","A Amazing Panorama of a Pioneer And a Student who must Overcome a Mad Scientist in A Manhattan Penthouse",2006
LIZA,BERGMAN,"CLASH FREDDY","A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia",2006
HENRY,BERRY,"SLEEPLESS MONSOON","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia",2006
VAL,BOLGER,"CARRIE BUNCH","A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies",2006
VAL,BOLGER,"FIREBALL PHILADELPHIA","A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft",2006
